Date,Open,High,Low,close to 4 week average ratio,Volume,Nifty Close,Close
11-02-2013,66.628098,68.406799,63.130901,0.969068207,22713598,5887.399902,66.115601
18-02-2013,66.266296,69.250999,64.638298,1.027081349,26530910,5850.299805,68.889198
25-02-2013,69.311302,72.3563,68.0149,1.042171994,40767622,5719.700195,70.034897
04-03-2013,70.245903,70.517197,67.623001,1.034666607,22217973,5945.700195,70.1856
11-03-2013,70.366501,72.295998,66.447197,0.983239549,23144653,5872.600098,67.653099
18-03-2013,66.808998,68.5877,63.764,0.932897043,18995836,5651.350098,64.547798
25-03-2013,64.879501,69.371597,64.125801,1.008411256,9609314,5682.549805,68.6782
01-04-2013,68.135498,69.642899,61.533001,0.920475483,31201931,5553.25,62.377102
08-04-2013,61.743999,67.773697,60.960201,1.014658743,24486409,5528.549805,66.778801
15-04-2013,65.512604,69.3414,65.512604,1.033667364,14184277,5783.100098,67.803902
22-04-2013,68.225899,77.541801,67.140602,1.111337935,45677911,5871.450195,73.803398
29-04-2013,74.165199,82.636902,73.471802,1.199866172,49992461,5944,81.219902
06-05-2013,80.797897,81.400803,75.190201,1.046845676,31271744,6094.75,75.793198
13-05-2013,76.396202,80.014,76.335899,1.0653204,30790288,6187.299805,79.531601
20-05-2013,79.380898,79.893402,77.18,1.002913867,25278589,5983.549805,77.813103
27-05-2013,77.933701,83.571503,77.210197,1.005466955,27349497,5985.950195,79.019096
03-06-2013,78.6875,83.390602,76.727798,0.992852949,35094322,5881,77.481499
10-06-2013,77.210197,82.908203,74.949097,1.047454912,37164906,5808.399902,82.1847
17-06-2013,81.491302,90.867401,81.461098,1.065726759,57724794,5667.649902,84.325203
24-06-2013,85.0186,87.732002,81.702301,1.056561313,58299083,5842.200195,85.320099
01-07-2013,84.717102,89.1791,82.7575,1.007048982,31469517,5867.899902,82.908203
08-07-2013,82.064102,88.485703,80.888298,1.050527268,26888345,6009,87.912903
15-07-2013,87.309898,98.615601,87.309898,1.066146919,62169111,6029.200195,90.746803
22-07-2013,89.8424,100.032997,89.510696,1.144793694,68528121,5886.200195,99.278801
29-07-2013,98.886902,106.363998,90.053398,1.062411283,88549839,5677.899902,95.841904
05-08-2013,96.022797,97.258904,90.746803,1.018874165,41678735,5565.649902,95.208801
12-08-2013,96.354401,106.905998,94.786697,1.087656205,41094706,5507.850098,103.620003
19-08-2013,103.710999,104.795998,93.641098,0.959975833,43637595,5471.75,94.545502
26-08-2013,95.269096,99.519997,85.500999,0.990860098,52166380,5471.799805,96.414703
02-09-2013,95.630898,98.193497,89.570999,0.97826667,51172947,5680.399902,95.329399
09-09-2013,95.329399,102.504997,95.329399,0.996521207,36344456,5850.600098,97.138298
16-09-2013,97.982498,101.810997,96.505203,1.022487967,33075036,6012.100098,98.012604
23-09-2013,97.228798,106.123001,96.022797,1.073169743,48539452,5833.200195,103.801003
30-09-2013,102.927002,107.629997,100.725998,1.056433586,25496930,5907.299805,104.133003
07-10-2013,103.710999,111.820999,103.227997,1.101872095,34289156,6096.200195,111.037003
14-10-2013,112.152,113.598999,108.473999,1.048942899,29117176,6189.350098,109.348
21-10-2013,108.835999,111.126999,101.780998,0.9671296,38175256,6144.899902,103.559998
28-10-2013,101.359001,106.001999,99.942101,0.949929705,64607659,6307.200195,101.661003
04-11-2013,101.661003,102.595001,96.927299,0.930792292,28604445,6140.75,99.037697
11-11-2013,99.1884,103.589996,94.696297,0.995989673,47377687,6056.149902,102.987
18-11-2013,103.108002,107.418999,103.108002,1.032870304,46310910,5995.450195,105.157997
25-11-2013,105.157997,108.233002,102.897003,1.035026351,49910616,6176.100098,105.791
